frame,time_s,faces,emotions,activity,motion_score,motion_z,anomaly
313,10.433,1,happy,movimento,4.876171,0.2018,0
314,10.467,1,happy,parado,0.074863,-1.7731,0
315,10.5,1,happy,movimento,4.955881,0.2461,0
316,10.533,1,happy,movimento,5.71197,0.557,0
317,10.567,1,happy,movimento,6.145097,0.7277,0
318,10.6,1,happy,movimento,5.605781,0.4999,0
319,10.633,1,happy,movimento,7.043474,1.0729,0
320,10.667,1,happy,parado,0.165995,-1.7413,0
321,10.7,1,happy,movimento,6.164076,0.7211,0
322,10.733,1,happy,movimento,5.265146,0.3605,0
323,10.767,1,happy,movimento,5.161044,0.3377,0
324,10.8,1,happy,movimento,4.758742,0.1842,0
325,10.833,1,happy,parado,3.901168,-0.2006,0
326,10.867,1,happy,parado,0.07481,-1.7969,0
327,10.9,1,happy,movimento,5.204515,0.4088,0
328,10.933,1,happy,movimento,4.949602,0.3132,0
329,10.967,1,happy,parado,3.9921,-0.0906,0
330,11.0,1,happy,parado,3.021184,-0.5015,0
331,11.033,1,happy,parado,3.607089,-0.227,0
332,11.067,1,happy,parado,0.285319,-1.7184,0
333,11.1,1,happy,parado,3.958362,-0.0562,0
334,11.133,1,happy,movimento,4.279721,0.1063,0
335,11.167,1,happy,parado,3.11879,-0.408,0
336,11.2,1,happy,parado,2.213584,-0.8202,0
337,11.233,1,happy,parado,0.013883,-1.8811,0
338,11.267,1,happy,parado,3.482348,-0.1876,0
339,11.3,1,happy,movimento,4.008803,0.0813,0
340,11.333,1,happy,movimento,4.100029,0.1444,0
341,11.367,1,happy,movimento,4.811822,0.5186,0
342,11.4,1,happy,parado,3.334572,-0.2103,0
343,11.433,1,happy,parado,3.637432,-0.0411,0
344,11.467,1,happy,parado,0.198056,-1.8504,0
345,11.5,1,happy,movimento,4.111785,0.2157,0
346,11.533,1,happy,movimento,4.582651,0.4661,0
347,11.567,1,happy,movimento,4.968394,0.6629,0
348,11.6,1,happy,movimento,5.330764,0.8431,0
349,11.633,1,happy,parado,2.845977,-0.4873,0
350,11.667,1,happy,parado,0.071045,-1.9107,0
351,11.7,1,happy,parado,2.890965,-0.4247,0
352,11.733,1,happy,parado,3.386214,-0.16,0
353,11.767,1,happy,movimento,5.662798,1.0251,0
354,11.8,1,happy,movimento,5.122837,0.756,0
355,11.833,1,happy,parado,3.037262,-0.3364,0
356,11.867,1,happy,parado,0.116427,-1.8723,0
357,11.9,1,happy,movimento,4.439148,0.398,0
358,11.933,1,happy,movimento,4.488594,0.4203,0
359,11.967,1,happy,movimento,5.131956,0.7545,0
360,12.0,1,happy,movimento,4.92086,0.6394,0
361,12.033,0,,movimento_brusco,100.046931,9.2696,1
362,12.067,0,,parado,0.001332,-0.4641,0
363,12.1,0,,parado,0.0002,-0.4612,0
364,12.133,0,,parado,0.000282,-0.4566,0
365,12.167,0,,parado,0.312061,-0.4212,0
366,12.2,0,,parado,0.813135,-0.3697,0
367,12.233,0,,parado,1.010481,-0.3518,0
368,12.267,0,,parado,1.126162,-0.3389,0
369,12.3,0,,parado,2.951863,-0.1608,0
370,12.333,0,,parado,3.403142,-0.1161,0
371,12.367,0,,parado,3.967696,-0.0596,0
372,12.4,0,,parado,4.114554,-0.0463,0
373,12.433,0,,parado,4.13609,-0.0462,0
374,12.467,0,,parado,4.463536,-0.0192,0
375,12.5,0,,movimento,4.902498,0.0205,0
376,12.533,0,,movimento,5.079475,0.0349,0
377,12.567,0,,parado,0.001658,-0.4544,0
378,12.6,0,,movimento,5.225234,0.0507,0
379,12.633,0,,movimento,5.731765,0.0938,0
380,12.667,0,,movimento,6.779515,0.1926,0
381,12.7,0,,movimento,7.521837,0.261,0
382,12.733,0,,movimento,7.68855,0.2747,0
383,12.767,0,,movimento,7.546276,0.2577,0
384,12.8,0,,movimento,10.068754,0.496,0
385,12.833,0,,parado,4.307881,-0.0612,0
386,12.867,0,,parado,4.289697,-0.0675,0
387,12.9,0,,parado,0.08768,-0.4688,0
388,12.933,0,,parado,0.090712,-0.4628,0
389,12.967,0,,parado,0.086986,-0.4571,0
390,13.0,0,,parado,0.093691,-0.4496,0
391,13.033,0,,parado,0.104493,-0.4417,0
392,13.067,0,,parado,0.016108,-0.4501,0
393,13.1,0,,parado,0.1365,-0.4318,0
394,13.133,0,,parado,0.270775,-0.4113,0
395,13.167,0,,parado,0.432287,-0.3891,0
396,13.2,0,,parado,0.596073,-0.3696,0
397,13.233,0,,parado,1.09833,-0.3226,0
398,13.267,0,,parado,1.695367,-0.2621,0
399,13.3,0,,parado,4.247335,-0.0159,0
400,13.333,0,,parado,3.312637,-0.1047,0
401,13.367,0,,parado,4.177236,-0.0212,0
402,13.4,0,,movimento,6.734115,0.2223,0
403,13.433,0,,movimento,7.949223,0.3356,0
404,13.467,0,,movimento,8.716592,0.4001,0
405,13.5,0,,movimento,9.174701,0.4391,0
406,13.533,0,,movimento,5.557989,0.0923,0
407,13.567,0,,parado,0.003783,-0.4337,0
408,13.6,0,,movimento,5.292123,0.0736,0
409,13.633,0,,movimento,5.485475,0.0938,0
410,13.667,0,,movimento,5.746531,0.113,0
411,13.7,0,,movimento,6.006581,0.1381,0
412,13.733,0,,movimento,6.330207,0.168,0
413,13.767,0,,movimento,6.563302,0.1889,0
414,13.8,0,,movimento,11.524773,0.6561,0
415,13.833,0,,movimento,6.224455,0.1463,0
416,13.867,0,,parado,4.453673,-0.0279,0
417,13.9,0,,movimento,5.394384,0.062,0
418,13.933,0,,parado,2.63385,-0.1999,0
419,13.967,0,,parado,2.271535,-0.2328,0
420,14.0,0,,parado,0.315137,-0.4169,0
421,14.033,0,,parado,0.3069,-0.4138,0
422,14.067,0,,parado,0.315265,-0.413,0
423,14.1,0,,parado,0.004157,-0.4381,0
424,14.133,0,,parado,0.320489,-0.4033,0
425,14.167,0,,parado,2.362734,-0.2076,0
426,14.2,0,,parado,3.737272,-0.0781,0
427,14.233,0,,parado,4.552011,-0.0052,0
428,14.267,0,,movimento,5.425852,0.0762,0
429,14.3,0,,movimento,9.886666,0.4954,0
430,14.333,0,,movimento,8.007858,0.3119,0
431,14.367,0,,movimento,8.338928,0.3395,0
432,14.4,0,,movimento,8.156341,0.3168,0
433,14.433,0,,movimento,7.487694,0.249,0
434,14.467,0,,movimento,6.721152,0.1693,0
435,14.5,0,,movimento,6.151802,0.1129,0
436,14.533,0,,movimento,5.361286,0.0367,0
437,14.567,0,,parado,4.461286,-0.0485,0
438,14.6,0,,parado,0.018081,-0.4658,0
439,14.633,0,,parado,3.510993,-0.134,0
440,14.667,0,,parado,2.500138,-0.233,0
441,14.7,0,,parado,1.291597,-0.3463,0
442,14.733,0,,parado,1.243875,-0.3484,0
443,14.767,0,,parado,2.262117,-0.2478,0
444,14.8,0,,parado,3.884457,-0.0921,0
445,14.833,0,,parado,0.396786,-0.4209,0
446,14.867,0,,parado,0.384456,-0.4224,0
447,14.9,0,,parado,0.362933,-0.4197,0
448,14.933,0,,parado,0.377912,-0.4135,0
449,14.967,0,,parado,0.365754,-0.4093,0
450,15.0,0,,parado,0.392571,-0.4016,0
451,15.033,0,,parado,0.3702,-1.0361,0
452,15.067,0,,parado,0.38062,-1.0356,0
453,15.1,0,,parado,0.005752,-1.1589,0
454,15.133,0,,parado,0.378405,-1.0393,0
455,15.167,0,,parado,0.36913,-1.0428,0
456,15.2,0,,parado,0.394423,-1.0314,0
457,15.233,0,,parado,0.365312,-1.0364,0
458,15.267,0,,parado,0.385777,-1.0244,0
459,15.3,0,,parado,0.677676,-0.9164,0
460,15.333,0,,parado,0.368915,-1.0004,0
461,15.367,0,,parado,0.370585,-0.9817,0
462,15.4,0,,parado,0.37491,-0.9621,0
463,15.433,0,,parado,0.357956,-0.9496,0
464,15.467,0,,parado,0.358737,-0.9309,0
465,15.5,0,,parado,0.365875,-0.9097,0
466,15.533,0,,parado,0.372541,-0.8887,0
467,15.567,0,,parado,0.362689,-0.8942,0
468,15.6,0,,parado,0.021069,-0.981,0
469,15.633,0,,parado,0.356689,-0.8559,0
470,15.667,0,,parado,0.368613,-0.8329,0
471,15.7,0,,parado,0.360836,-0.8166,0
472,15.733,0,,parado,0.366724,-0.7964,0
473,15.767,0,,parado,0.364003,-0.779,0
474,15.8,0,,parado,0.663005,-0.6677,0
475,15.833,0,,parado,0.370155,-0.7502,0
476,15.867,0,,parado,0.359985,-0.738,0
477,15.9,0,,parado,0.354922,-0.7413,0
478,15.933,0,,parado,0.377015,-0.7355,0
479,15.967,0,,parado,0.345386,-0.7477,0
480,16.0,0,,parado,0.357465,-0.7452,0
481,16.033,0,,parado,0.351092,-0.7488,0
482,16.067,0,,parado,0.361255,-0.7474,0
483,16.1,0,,parado,0.349484,-0.7527,0
484,16.133,0,,parado,0.369707,-0.7464,0
485,16.167,0,,parado,0.005864,-0.8662,0
486,16.2,0,,parado,0.650437,-0.6498,0
487,16.233,0,,parado,0.00508,-0.8603,0
488,16.267,0,,parado,0.657547,-0.6366,0
